,Unnamed: 0,job_titles,companys,location,employment_type,gov_support,salary,links,industrys
38,38,BII - Post-Doctoral Research Fellow (Dr Lee's Lab),A*STAR RESEARCH ENTITIES,South,Non-executive,,"$4,500to$9,000",https://www.mycareersfuture.sg/job/bii-post-doctoral-research-fellow-astar-research-entities-7df212bc772da9d73dd9487a2125cfba,Sciences / Laboratory / R&D
39,39,Research Scientist (Computer Vision),NEURONCREDIT PTE. LTD.,Central,Executive,Government support available,"$5,000to$9,000",https://www.mycareersfuture.sg/job/research-scientist-neuroncredit-cda864afdc4281f4d2b08f37a5127b8f,Information Technology
40,40,Senior Research Engineer,NANYANG TECHNOLOGICAL UNIVERSITY,West,Professional ...,Government support available,"$5,000to$7,000",https://www.mycareersfuture.sg/job/senior-research-engineer-nanyang-technological-university-c7b1134af338de323fc40d7f01584d38,Engineering ...
41,41,Financial Controller,MANGOSTEEN BCC PTE. LTD.,Central,Executive,,"$7,500to$9,000",https://www.mycareersfuture.sg/job/financial-controller-mangosteen-bcc-49fd6f61272dd4fbef5697f98a128e23,Accounting / Auditing / Taxation
42,42,"Executive, Analytics",MANULIFE (SINGAPORE) PTE. LTD.,Central,Senior Executive,Government support available,"$3,500to$6,000",https://www.mycareersfuture.sg/job/executive-analytics-manulife-6250b7a33a10e0b64ab5b965c96df7fd,Insurance
43,43,AI Operation Research Scientist,Company Undisclosed,Central,Professional,Government support available,"$7,000to$12,000",https://www.mycareersfuture.sg/job/ai-operation-research-scientist-1e8899f5289ba1e9c8adc292b9dc9d06,Information Technology
44,44,Algorithm Scientist,AXINAN PTE. LTD.,Central,Manager ...,Government support available,"$6,000to$10,000",https://www.mycareersfuture.sg/job/algorithm-scientist-axinan-8bfb01017198e3101cebeed0233bd4a8,Engineering
0,0,Data Manager,CAPGEMINI SINGAPORE PTE. LTD.,Central,Professional,Government support available,"$5,000to$7,500",https://www.mycareersfuture.sg/job/data-manager-capgemini-singapore-0ff2338a7ea845cbe3128aaafe462f28,Engineering
1,1,"VP, Data Privacy, Controls Reporting & Product Governance",THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,Central,Senior Executive,Government support available,"$6,500to$12,000",https://www.mycareersfuture.sg/job/vp-data-privacy-controls-reporting-product-governance-hsbc-bank-b36354d740948a316a04d620af652651,Banking and Finance
8,8,Regional IT Lead,HEINEKEN ASIA PACIFIC PTE. LTD.,South,Manager,Government support available,"$5,000to$6,000",https://www.mycareersfuture.sg/job/regional-lead-heineken-asia-pacific-8cbd1d22e3def8e87ac84cbd60575a9a,Information Technology
9,9,Audience Insights Engagement Specialist,UNILEVER ASIA PRIVATE LIMITED,South,Executive,Government support available,"$5,000to$9,500",https://www.mycareersfuture.sg/job/audience-insights-engagement-specialist-unilever-asia-f621f5fbc1e841265782a4345b176b3d,Marketing / Public Relations 
11,11,Data Engineer,OBSERVATIONAL AND PRAGMATIC RESEARCH INSTITUTE PTE. LTD.,East,Junior Executive,Government support available,"$3,000to$6,000",https://www.mycareersfuture.sg/job/data-engineer-observational-pragmatic-research-institute-25e186a613429a46f1cf306ce5478751,Engineering ...
12,12,Data Engineer,WOODPECKER ASIA TECH PTE. LTD.,Central,Professional,,"$4,800to$5,300",https://www.mycareersfuture.sg/job/data-engineer-woodpecker-asia-tech-3a652fb39c0fb93f18173e29da6682b1,Consulting  ...
13,13,Finance Data Analyst,NTT DATA SINGAPORE PTE. LTD.,East,Professional ...,,"$3,300to$5,940",https://www.mycareersfuture.sg/job/finance-data-analyst-ntt-data-singapore-06c829770da2898af4c61351844e5fa7,Banking and Finance ...
14,14,Master Data Manager,SHISEIDO TRAVEL RETAIL ASIA PACIFIC PTE. LTD.,Central,Manager,Government support available,"$6,000to$8,000",https://www.mycareersfuture.sg/job/master-data-manager-shiseido-travel-retail-asia-pacific-3f3597459750f3fa15bbd0fbcdec218f,Logistics / Supply Chain
15,15,SR Clinical Research Associate,INC RESEARCH CRO SINGAPORE PTE. LTD.,Islandwide,Professional ...,Government support available,"$80,000to$90,000",https://www.mycareersfuture.sg/job/sr-clinical-research-associate-research-cro-singapore-803eed4eb5dddc784aa27503a6624ff9,Environment / Health   ...
16,16,Reporting Analyst,ITCAN PTE. LIMITED,Islandwide,Executive,Government support available,"$3,500to$7,000",https://www.mycareersfuture.sg/job/reporting-analyst-itcan-1807088b97abed32625fca31c7243b01,Information Technology
17,17,IT Business Solutions Manager,MOBILE COMMUNITY TECH PTE. LTD.,Central,Senior Management,Government support available,"$4,500to$5,500",https://www.mycareersfuture.sg/job/business-solutions-manager-mobile-community-tech-d2b85887fea02ce00b4521e132dba6a6,Information Technology
18,18,Deputy Director  /  Director - Administration (2-year contract),NATIONAL UNIVERSITY OF SINGAPORE,South,Senior Management,Government support available,"$10,000to$16,000",https://www.mycareersfuture.sg/job/deputy-director-director-administration-national-university-singapore-b17cbbc37e5f6c4af5dd04a4bcb8778c,Others
19,19,CRM Data Manager,INTERFACE SINGAPORE PTE. LTD.,Islandwide,Manager ...,Government support available,"$8,000to$15,000",https://www.mycareersfuture.sg/job/crm-data-manager-interface-singapore-86dc389ddcbfd88332f7fdf425f149f1,Information Technology
20,20,CRM Campaign & Data Analyst,ASPIRE GLOBAL NETWORK PTE. LTD.,Central,Professional,,"$5,000to$7,500",https://www.mycareersfuture.sg/job/crm-campaign-data-analyst-aspire-global-network-a5d88b15abfdd3c681d9a0cf4c5b8c8b,Advertising / Media 
21,21,CRM Campaign & Data Analyst,ASPIRE GLOBAL NETWORK PTE. LTD.,Central,Professional,,"$3,500to$5,000",https://www.mycareersfuture.sg/job/crm-campaign-data-analyst-aspire-global-network-11b202ae623b7e0052e25a3adae7bc57,Information Technology
