,Unnamed: 0,job_titles,companys,location,employment_type,gov_support,salary,links,industrys
0,0,Data Engineer,GRABTAXI HOLDINGS PTE. LTD.,Central,Professional,Government support available,"$6,000to$10,000",https://www.mycareersfuture.sg/job/data-engineer-grabtaxi-holdings-189dd8637b4193915e4a37247baa461c,Engineering
1,1,Data Engineer,MOKA TECHNOLOGY SOLUTIONS PTE. LTD.,North,Professional,Government support available,"$5,000to$7,000",https://www.mycareersfuture.sg/job/data-engineer-moka-technology-solutions-9a2882ca74c6e52d5a8f33fbc7a5a572,Engineering
2,2,Data Engineer,TITANSOFT PTE. LTD.,Central,Executive,Government support available,"$3,000to$8,000",https://www.mycareersfuture.sg/job/data-engineer-titansoft-8ac4098c795dce10e7a48030a42255b3,Professional Services
3,3,Senior ETL and DATA Engineer,SMARTSOFT PTE. LTD.,Islandwide,Senior Executive,,"$6,000to$11,000",https://www.mycareersfuture.sg/job/senior-etl-data-engineer-smartsoft-4b1aeea089cbaa6726eb2cb5dca20fd0,Information Technology
4,4,Senior ETL and Data Engineer,SCHELLDEN GLOBAL SERVICES,Islandwide,Senior Executive,,"$6,000to$11,000",https://www.mycareersfuture.sg/job/senior-etl-data-engineer-schellden-global-services-31003e58ccc2f49ba4d79ddd8a696ca4,Information Technology
5,5,Senior ETL and Data Engineer,SCHELLDEN GLOBAL PTE. LTD.,Islandwide,Senior Executive,,"$6,000to$11,000",https://www.mycareersfuture.sg/job/senior-etl-data-engineer-schellden-global-99f611ea6cf10ae6754dd32381943bcd,Information Technology
6,6,High-Performance Data Engineer,NIOMETRICS (PTE.) LTD.,East,Professional,Government support available,"$5,500to$11,000",https://www.mycareersfuture.sg/job/high-performance-data-engineer-niometrics-af05e08c9f5a51a65c5213bde728c60f,Information Technology
7,7,Data Engineer,ABAKUS (ASIA PACIFIC) PTE. LTD.,East,Executive,Government support available,"$5,500to$7,000",https://www.mycareersfuture.sg/job/data-engineer-abakus-ec80cf4678d1bf50b66a251f06283161,Information Technology
8,8,Data Engineer,ORICA INTERNATIONAL PTE. LTD.,Central,Fresh/entry level,Government support available,"$75,000to$90,000",https://www.mycareersfuture.sg/job/data-engineer-orica-international-a6afa6b4ba52dfdb024217fcb0b4eba0,Information Technology
9,9,Data Engineer,LEADBOOK PTE. LTD.,Central,Professional,,"$2,000to$4,000",https://www.mycareersfuture.sg/job/data-engineer-leadbook-995d39b7e98f157a50df98d041569510,Information Technology ...
10,10,Data Engineer,FACEBOOK SINGAPORE PTE. LTD.,East,Professional,,"$7,500to$12,000",https://www.mycareersfuture.sg/job/data-engineer-facebook-singapore-5c0cbba35308ed1b1cefe4e70801f488,Engineering
11,11,Data Engineer,FOODPANDA SINGAPORE PTE. LTD.,Central,Manager ...,Government support available,"$5,000to$10,000",https://www.mycareersfuture.sg/job/data-engineer-foodpanda-singapore-484d3e1bc4cd02189d121f6b24fb2fb5,Others
12,12,Lead Data Engineer,JEWEL PAYMENTECH PTE. LTD.,East,Professional,,"$8,000to$12,000",https://www.mycareersfuture.sg/job/lead-data-engineer-jewel-paymentech-2097b9ff0f6bb0197cb3b03afbbcb8b5,Information Technology
13,13,Data Engineer,JEWEL PAYMENTECH PTE. LTD.,East,Professional,,"$4,000to$8,000",https://www.mycareersfuture.sg/job/data-engineer-jewel-paymentech-ab98de328007a20fc1f5ad9a4cd3e160,Information Technology
14,14,Senior Data Engineer,JEWEL PAYMENTECH PTE. LTD.,East,Professional,,"$8,000to$10,000",https://www.mycareersfuture.sg/job/senior-data-engineer-jewel-paymentech-38ad00cacb9beddc5e5b4a206592fd8f,Information Technology
15,15,Data Engineer,HONESTBEE PTE. LTD.,South,Executive ...,Government support available,Salary undisclosed,https://www.mycareersfuture.sg/job/data-engineer-honestbee-a330651fbfd55e72e33da59c6fff3b38,Information Technology
16,16,Big Data Engineer (Financial Services),ERNST & YOUNG ADVISORY PTE. LTD.,Central,Middle Management,Government support available,"$8,000to$16,000",https://www.mycareersfuture.sg/job/big-data-engineer-ernst-young-advisory-52a9c40c842ec8393282fdc31a1af874,Consulting  ...
17,17,Big Data Engineer (Financial Services),ERNST & YOUNG ADVISORY PTE. LTD.,Central,Manager,Government support available,"$6,000to$12,000",https://www.mycareersfuture.sg/job/big-data-engineer-ernst-young-advisory-c94d217a77e02ce6753d0390cf9fdca7,Consulting  ...
18,18,Big Data Engineer (Financial Services),ERNST & YOUNG ADVISORY PTE. LTD.,Central,Senior Executive,Government support available,"$4,100to$8,200",https://www.mycareersfuture.sg/job/big-data-engineer-ernst-young-advisory-0e254e8e63d01bd52efed3f91e4e1c0c,Consulting  ...
19,19,Big Data Engineer (Financial Services),ERNST & YOUNG ADVISORY PTE. LTD.,Central,Manager,Government support available,"$6,000to$12,000",https://www.mycareersfuture.sg/job/big-data-engineer-ernst-young-advisory-5c6015c43915d53b5bec72fef296a1f6,Consulting  ...
20,20,Big Data Engineer  /  DevOps Engineer  /  Software Developer,ADD-ON APAC SINGAPORE PTE. LTD.,North,Executive,Government support available,Salary undisclosed,https://www.mycareersfuture.sg/job/big-data-engineer-devops-engineer-software-developer-add-on-apac-singapore-bff289fec02aff0092e988d84800d315,Information Technology
21,21,Data Engineer,ADECCO PERSONNEL PTE LTD,Islandwide,Executive,Government support available,"$5,000to$8,500",https://www.mycareersfuture.sg/job/data-engineer-adecco-personnel-acf2c9b776120238ad927197806f7f04,Information Technology
22,22,Data Engineer,RAKUTEN ASIA PTE. LTD.,Central,Manager,Government support available,"$4,500to$8,000",https://www.mycareersfuture.sg/job/data-engineer-rakuten-asia-b6cd750d78ac8eb52fe762130f97b186,Information Technology
23,23,Data Engineer,PRUDENTIAL ASSURANCE COMPANY SINGAPORE (PTE) LIMITED,Central,Senior Executive,,"$4,000to$6,500",https://www.mycareersfuture.sg/job/data-engineer-prudential-assurance-company-singapore-a16594f4efee319e982c895bbf67e8ed,Engineering ...
24,24,"Contract Senior (1 Year Contract), Data Engineer – Python, Group Finance (190000E3)",DBS BANK LTD.,Central,Junior Executive,,"$2,100to$4,200",https://www.mycareersfuture.sg/job/contract-senior-data-engineer-%E2%80%93-python-group-finance-dbs-bank-a88c75d9dd18a1cb9b7d92fc713a8337,Banking and Finance
25,25,Senior Data Engineer,DATASPARK PTE. LTD.,Central,Executive ...,Government support available,"$6,000to$8,000",https://www.mycareersfuture.sg/job/senior-data-engineer-dataspark-d165fec9f2768af3e28feec4dfe6f4d3,Information Technology
26,26,"Senior Manager, Data Engineer",LAZADA SOUTH EAST ASIA PTE. LTD.,Central,Manager,Government support available,"$8,000to$12,000",https://www.mycareersfuture.sg/job/senior-manager-data-engineer-lazada-south-east-asia-45d7ce3b60661f1ec166b06dd04606cc,Information Technology
27,27,Python ETL & Big Data Engineer,CXA GROUP PTE. LIMITED,South,Professional,Government support available,"$6,000to$8,000",https://www.mycareersfuture.sg/job/python-etl-big-data-engineer-cxa-group-1b585050532bdd76ad9421adc07b5a92,Information Technology
28,28,Senior Data Engineer,THOUGHTWORKS PTE. LTD.,Central,Professional,,"$6,000to$11,800",https://www.mycareersfuture.sg/job/senior-data-engineer-thoughtworks-443ad7cb21097edb976947a1c864d995,Consulting  ...
29,29,Data Engineer,COLLABERA TECHNOLOGIES PTE. LTD.,Central,Senior Executive,Government support available,"$5,500to$7,150",https://www.mycareersfuture.sg/job/data-engineer-collabera-technologies-60c011eb6b7af24a6e1597fd7d15b727,Information Technology
30,30,Data Engineer(Deep Learning),NEURONCREDIT PTE. LTD.,Central,Executive,Government support available,"$3,500to$6,500",https://www.mycareersfuture.sg/job/data-engineer-neuroncredit-075d88144971d26a7ee20a757f8080f8,Information Technology
31,31,Cyber Security Big Data Engineer,Company Undisclosed,Central,Professional,Government support available,"$7,000to$12,000",https://www.mycareersfuture.sg/job/cyber-security-big-data-engineer-2971a7516b523a443afe3df36cb834a9,Information Technology
32,32,Senior Database Consultant - Big Data Engineer,PALO IT SINGAPORE PTE. LTD.,Central,Professional,Government support available,"$6,000to$12,000",https://www.mycareersfuture.sg/job/senior-database-consultant-big-data-engineer-palo-singapore-1d231290ad1b00aef2b0266e339cdcd4,Information Technology
33,33,Senior Database Consultant - Big Data Engineer,PALO IT SINGAPORE PTE. LTD.,Central,Professional,Government support available,"$6,000to$12,000",https://www.mycareersfuture.sg/job/senior-database-consultant-big-data-engineer-palo-singapore-2d499a6a8a10936226fd9d712342007f,Information Technology
34,34,Data Engineer,MICROSEC PTE. LTD.,Central,Middle Management,Government support available,"$4,000to$6,000",https://www.mycareersfuture.sg/job/data-engineer-microsec-25cd0d5ffef2fd9be93c58763bc96425,Information Technology
35,35,Data Scientist / Engineer,NEC CORPORATION,South,Executive,Government support available,"$4,500to$6,000",https://www.mycareersfuture.sg/job/data-scientist-engineer-nec-corporation-f1eba772347267532813c3a0de581003,Engineering ...
36,36,Big Data Security Engineer,ADDSTONES SAS,Central,Manager,Government support available,"$7,000to$12,000",https://www.mycareersfuture.sg/job/big-data-security-engineer-addstones-sas-47d32e8fabf96e2a4f09b02bc14e4ff2,Consulting  ...
37,37,Data Center Engineering Project Engineer APAC,AMAZON ASIA-PACIFIC RESOURCES PRIVATE LIMITED,Central,Professional,Government support available,"$9,000to$12,000",https://www.mycareersfuture.sg/job/data-center-engineering-project-engineer-apac-amazon-asia-pacific-resources-de31764deee5ad19b1c31315dad0c575,Design ...
38,38,Senior Data Center Infrastructure Availability Engineer,AMAZON ASIA-PACIFIC RESOURCES PRIVATE LIMITED,Central,Professional,Government support available,"$14,000to$17,000",https://www.mycareersfuture.sg/job/senior-data-center-infrastructure-availability-engineer-amazon-asia-pacific-resources-5bbb7368b345998544db3dfcaa53a044,Building and Construction ...
39,39,Data Center Electrical Engineer - Singapore,GOOGLE ASIA PACIFIC PTE. LTD.,South,Senior Executive,Government support available,"$10,750to$21,500",https://www.mycareersfuture.sg/job/data-center-electrical-engineer-singapore-google-asia-pacific-62750ba5cc51c95fadc3b2cc22769e45,Engineering
40,40,Lead Data Center Engineer,JOHNSON & JOHNSON PTE. LTD.,Central,Professional,Government support available,"$5,000to$10,000",https://www.mycareersfuture.sg/job/lead-data-center-engineer-johnson-johnson-c0791839b727bc55b28d04045e79a617,Engineering ...
41,41,IT Product Data Management Senior Engineer,WANCO MANPOWER PTE LTD,East,Executive,Government support available,"$3,500to$5,300",https://www.mycareersfuture.sg/job/product-data-management-senior-engineer-wanco-manpower-e4ebc7f9c89dcf28691bfa6a882f2795,Information Technology
42,42,Data Centre Engineer,HELIUS TECHNOLOGIES PTE. LTD.,East,Non-executive,Government support available,"$3,500to$4,000",https://www.mycareersfuture.sg/job/data-centre-engineer-helius-technologies-a8ee9115e5ac0b43cc6e5d451a14bd3f,Information Technology
43,43,IT Data Visualisation Engineer,Company Undisclosed,Central,Professional,Government support available,"$7,000to$12,000",https://www.mycareersfuture.sg/job/data-visualisation-engineer-8a1a2ec41c135c42eabd062ad3c83471,Information Technology
44,44,"DevOps Engineer, Data Science and Artificial Intelligence",GOVERNMENT TECHNOLOGY AGENCY,,Middle Management,,"$5,000to$8,000",https://www.mycareersfuture.sg/job/devops-engineer-data-science-artificial-intelligence-government-technology-agency-ed592471e3bf926a6bcee241bc6dfe58,Information Technology ...
45,45,Data  Centre  Support  Engineer,CREATIVE INFRASTRUCTURE SOLUTIONS PTE. LTD.,Central,Fresh/entry level,,"$1,500to$1,700",https://www.mycareersfuture.sg/job/data-centre-support-engineer-creative-infrastructure-solutions-5debf6c4120e2ba7be4bb2f83d24bf98,Engineering ...
46,46,Data Center Operations Engineer,MCITS TECHNOLOGIES PTE. LTD.,"North, Central",Executive,Government support available,"$3,400to$4,000",https://www.mycareersfuture.sg/job/data-center-operations-engineer-mcits-technologies-6ae8ced77930ec68b3876e9127e84d5a,Information Technology
47,47,Data Center Support Engineer,SERVLINK TECHNOLOGY RESOURCES PTE LTD,South,Non-executive,,"$2,500to$3,200",https://www.mycareersfuture.sg/job/data-center-support-engineer-servlink-technology-resources-7175b74b3afe2f9160b03e9bd778f5e1,Information Technology
48,48,Data Centre Engineer  /  Operator,ITCAN PTE. LIMITED,Islandwide,Professional ...,,"$2,500to$3,500",https://www.mycareersfuture.sg/job/data-centre-engineer-operator-itcan-a864322e752c5980eb08977bbe744d8c,Information Technology
49,49,"Senior Engineer /  Engineer, Data Centre Facilities Management",STARHUB LTD.,Central,Fresh/entry level,,"$3,500to$4,800",https://www.mycareersfuture.sg/job/senior-engineer-engineer-data-centre-facilities-management-starhub-4e0d066faaec184fde6053448841ea60,Engineering
50,50,Senior Data Center Engineer,ITCAN PTE. LIMITED,Central,Senior Executive,Government support available,"$4,500to$7,000",https://www.mycareersfuture.sg/job/senior-data-center-engineer-itcan-5a343fc2c67aacdc5771b512595ef0af,Information Technology
51,51,Data Center Fiber Optics Cabling Engineer,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,Central,Non-executive,Government support available,"$3,000to$5,000",https://www.mycareersfuture.sg/job/data-center-fiber-optics-cabling-engineer-optimum-solutions-669c148977312280cec51c57240853bb,Information Technology
52,52,Big Data Security Engineer,ADDSTONES SAS,Central,Manager,Government support available,"$5,000to$10,000",https://www.mycareersfuture.sg/job/big-data-security-engineer-addstones-sas-540c77673bfefe3bafdb880658498799,Consulting 
53,53,Senior Data Research Engineer,TITANSOFT PTE. LTD.,Central,Executive,Government support available,"$4,000to$8,000",https://www.mycareersfuture.sg/job/senior-data-research-engineer-titansoft-2a1269ac23a2fa6f8d993d86db70e47e,Others
54,54,Data Research Engineer,TITANSOFT PTE. LTD.,Central,Executive,Government support available,"$4,000to$8,000",https://www.mycareersfuture.sg/job/data-research-engineer-titansoft-3d6111d96157c9a00507bd1fc9cf4796,Others
55,55,Data Quality Engineer,ALPHATECH BUSINESS SOLUTIONS PTE. LTD.,East,Senior Executive,Government support available,"$6,000to$7,800",https://www.mycareersfuture.sg/job/data-quality-engineer-alphatech-business-solutions-6e7dd9f9380e41c9fc9fe4887a078696,Information Technology
56,56,Facilities Engineer (Data Centre / M&E / Facility Management / Bishan),THE SUPREME HR ADVISORY PTE. LTD.,Islandwide,Executive,,"$2,500to$4,000",https://www.mycareersfuture.sg/job/facilities-engineer-supreme-hr-advisory-893461e81cb7a2343b546240e2afb8ee,Engineering
57,57,Big Data Software Engineer,ADECCO PERSONNEL PTE LTD,South,Professional ...,Government support available,"$6,000to$9,000",https://www.mycareersfuture.sg/job/big-data-software-engineer-adecco-personnel-8cea5272c7993d0c6addc977942ecead,Banking and Finance ...
58,58,Required Data Centre Engineer-12 Months Contract,PATH INFOTECH PTE. LTD.,Central,Executive,,"$3,000to$3,500",https://www.mycareersfuture.sg/job/required-data-centre-engineer-12-months-contract-path-infotech-7616f787bea6fc4c9d046896a7879562,Information Technology
59,59,Application Engineer - Smart Systems with AI & Data Technology,INFINEON TECHNOLOGIES ASIA PACIFIC PTE LTD,East,Fresh/entry level ...,Government support available,"$3,000to$5,500",https://www.mycareersfuture.sg/job/application-engineer-smart-systems-ai-data-technology-infineon-technologies-asia-pacific-843285eddedf6ceef0541d567426f31a,Engineering
60,60,Data Center Operations Engineer,MCITS TECHNOLOGIES PTE. LTD.,"North, Central",Executive,,"$2,500to$3,600",https://www.mycareersfuture.sg/job/data-center-operations-engineer-mcits-technologies-6ce1bdabdd4547c748dbc3a13f1ace8a,Information Technology
61,61,Research Engineer (Big Urban Data),A*STAR RESEARCH ENTITIES,South,Non-executive,,"$2,500to$5,000",https://www.mycareersfuture.sg/job/research-engineer-astar-research-entities-3a3c70eb175dd9ae8a2f7e8e44fa9c60,Sciences / Laboratory / R&D
62,62,Data scientist  /  Application production engineer,KEYTEO CONSULTING PTE. LTD.,Central,Non-executive,Government support available,"$8,000to$16,000",https://www.mycareersfuture.sg/job/data-scientist-application-production-engineer-keyteo-consulting-72c619360a33276d981dbe73e9ca14f4,Banking and Finance
63,63,Data Technical Support Engineer,TALENT TRADER GROUP PTE. LTD.,Islandwide,Senior Executive,Government support available,"$2,500to$4,000",https://www.mycareersfuture.sg/job/data-technical-support-engineer-talent-trader-group-d6b37d54d9b37d2ff9688ff0d05a7da6,Information Technology
64,64,Data Center Engineer,TECHCOM SOLUTIONS ASIA PACIFIC PTE. LTD.,Islandwide,Professional,Government support available,"$5,000to$6,500",https://www.mycareersfuture.sg/job/data-center-engineer-techcom-solutions-asia-pacific-e2d23fa69f59f15f092b39e622c18c1d,Information Technology
65,65,Technical Big Data Security engineer,KEYTEO CONSULTING PTE. LTD.,Central,Non-executive,Government support available,"$6,500to$13,000",https://www.mycareersfuture.sg/job/technical-big-data-security-engineer-keyteo-consulting-dcb2608aa088d095a1473874285d0a74,Banking and Finance
66,66,Data Center Engineer,TECHCOM SOLUTIONS & CONSULTANCY PTE. LTD.,Islandwide,Senior Executive,Government support available,"$5,000to$6,000",https://www.mycareersfuture.sg/job/data-center-engineer-techcom-solutions-consultancy-de3140d8875464b26482d29c4a96ff78,Banking and Finance ...
67,67,Data Technical Support Engineer,TALENT TRADER GROUP PTE. LTD.,Islandwide,Senior Executive,Government support available,"$2,500to$4,000",https://www.mycareersfuture.sg/job/data-technical-support-engineer-talent-trader-group-b95b9c1978e790c94a48ba244a7a8edd,Information Technology
68,68,"AVP  /  Senior Associate, Data Analyst, Analytic Center of Excellence, Transformation Grp (180003G5)",DBS BANK LTD.,East,Manager ...,,"$5,500to$11,000",https://www.mycareersfuture.sg/job/avp-senior-associate-data-analyst-analytic-center-excellence-transformation-grp-dbs-bank-b7c0e2d50e0b78bef8e80534fc7c81e0,Banking and Finance
69,69,Research Associate,NATIONAL UNIVERSITY OF SINGAPORE,South,Non-executive,,"$40,800to$84,600",https://www.mycareersfuture.sg/job/research-associate-national-university-singapore-3221d10d99d0b258bc2f476978aa8e9f,Sciences / Laboratory / R&D
70,70,Research Assistant,NATIONAL UNIVERSITY OF SINGAPORE,South,Non-executive,,"$36,000to$60,000",https://www.mycareersfuture.sg/job/research-assistant-national-university-singapore-61b2e7a6347ebb9e1f4da0a3ed544639,Sciences / Laboratory / R&D
71,71,Bigdata Engineer,HELIUS TECHNOLOGIES PTE. LTD.,South,Professional,Government support available,"$6,500to$8,500",https://www.mycareersfuture.sg/job/bigdata-engineer-helius-technologies-1b9774ae6562ff847639b9148fc59f6f,Information Technology
72,72,MCT Big Data Engineer,Company Undisclosed,North,Non-executive,Government support available,"$3,400to$6,800",https://www.mycareersfuture.sg/job/mct-big-data-engineer-165e3137bfd84a80aa511eb2574a2e44,Engineering ...
73,73,IT - BIG DATA ENGINEER,Company Undisclosed,North,Non-executive,Government support available,"$3,400to$6,800",https://www.mycareersfuture.sg/job/-big-data-engineer-f93dc298de35c9c833d992120476878c,Engineering ...
74,74,MCT Big Data Senior Engineer,Company Undisclosed,North,Non-executive,Government support available,"$5,000to$10,000",https://www.mycareersfuture.sg/job/mct-big-data-senior-engineer-d811457c351ebac1d6c04c22a4681965,Engineering ...
75,75,Data Platform Engineer,Company Undisclosed,East,Senior Executive,,"$4,000to$8,000",https://www.mycareersfuture.sg/job/data-platform-engineer-8f859201827cc192dffeea3e4271b2b3,Information Technology
76,76,Data Centre Technical Engineer (Ref 22800),Company Undisclosed,"South, Central",Executive,,"$3,000to$6,000",https://www.mycareersfuture.sg/job/data-centre-technical-engineer-7419e3f2257cd519bb62f11f7fdfc090,Information Technology
77,77,Data Center Operator  /  NOC Engineer (Ref 22570),Company Undisclosed,Central,Senior Executive,,"$2,000to$4,000",https://www.mycareersfuture.sg/job/data-center-operator-noc-engineer-7dbd8853ca265ffd8349c429114e38bc,Information Technology
78,78,Research Engineer (Process Industry /  Data Analytics),Company Undisclosed,East,Senior Executive,,Salary undisclosed,https://www.mycareersfuture.sg/job/research-engineer-e0d13bb6e16d7168d605c8c511db3ed3,Consulting  ...
0,0,Senior Analytics Manager - Data Scientist,PALO IT SINGAPORE PTE. LTD.,Central,Professional,Government support available,"$6,000to$12,000",https://www.mycareersfuture.sg/job/senior-analytics-manager-data-scientist-palo-singapore-516ddf54b455c05897a600b4c8a99832,Information Technology
1,1,Product Manager,TABSQUARE PTE. LTD.,East,Middle Management,,"$6,500to$8,500",https://www.mycareersfuture.sg/job/product-manager-tabsquare-3f9ea2df5815a365d8f70bbf035729d3,Information Technology
2,2,"Executive Manager / Senior Manager (Legal Policy), Research & Advocacy / Data Innovation & Protection Group",INFO-COMMUNICATIONS MEDIA DEVELOPMENT AUTHORITY,,Professional,,Salary undisclosed,https://www.mycareersfuture.sg/job/executive-manager-senior-manager-research-advocacy-data-innovation-protection-group-info-communications-media-development-authority-aaf971eaf4ac269ef5159923b4beafd3,Legal ...
3,3,Data Scientist,GOVERNMENT TECHNOLOGY AGENCY,,Middle Management,,"$5,000to$8,000",https://www.mycareersfuture.sg/job/data-scientist-government-technology-agency-f4a85908b1dea9966cfa8c8d0202bc82,Information Technology ...
4,4,Data Scientist,GOVERNMENT TECHNOLOGY AGENCY,,Middle Management,,"$5,000to$8,000",https://www.mycareersfuture.sg/job/data-scientist-government-technology-agency-6ed5060f4b486e0148f169e6c3b9cc05,Information Technology ...
5,5,Data Scientist,GOVERNMENT TECHNOLOGY AGENCY,,Middle Management,,"$5,000to$8,000",https://www.mycareersfuture.sg/job/data-scientist-government-technology-agency-5f3459ef82a41bdfb8e62598c18e9c16,Information Technology ...
7,7,Data Scientist,DELL GLOBAL B.V. (SINGAPORE BRANCH),Islandwide,Middle Management,Government support available,"$8,000to$16,000",https://www.mycareersfuture.sg/job/data-scientist-dell-global-bv-0b01058acbfe285d543e5fc532a6c122,Information Technology
8,8,Head (Data Architect),Accountant-General's Department,,,,Salary undisclosed,https://www.mycareersfuture.sg/job/head-accountant-generals-department-cb19026c04d291f44112432e6550e2e9,Accounting / Auditing / Taxation ...
9,9,Data Scientist,NTUC LINK PRIVATE LIMITED,Central,Junior Executive ...,,"$5,000to$10,000",https://www.mycareersfuture.sg/job/data-scientist-ntuc-link-38969bf8c12ff2a72f1e27e73b8e883a,Information Technology
10,10,Lead Data Scientist,JEWEL PAYMENTECH PTE. LTD.,East,Professional,,"$8,000to$12,000",https://www.mycareersfuture.sg/job/lead-data-scientist-jewel-paymentech-39b5db50208d9233a67ccb842c22285f,Information Technology
11,11,Data Engineer,ALPHA Z ANALYTICS SINGAPORE PTE. LTD.,Central,Professional,Government support available,"$6,000to$10,000",https://www.mycareersfuture.sg/job/data-engineer-alpha-z-analytics-singapore-e9ea9493274dd95bbe64877c715113cf,Professional Services
12,12,Data Scientist,SINGAPORE POWER LIMITED,Central,Professional,Government support available,"$4,000to$8,000",https://www.mycareersfuture.sg/job/data-scientist-singapore-power-5731c18be188d7d1f80a840a834ad207,Information Technology
13,13,Senior Data Scientist,SINGAPORE POWER LIMITED,Central,Middle Management,Government support available,"$8,000to$14,000",https://www.mycareersfuture.sg/job/senior-data-scientist-singapore-power-b8f943fb05cb5ef1ec504e530dc425f3,Information Technology
14,14,Data Engineer,FIXED & MOBILE PTE. LTD.,Central,Non-executive,Government support available,"$4,000to$7,000",https://www.mycareersfuture.sg/job/data-engineer-fixed-mobile-2215e8a8684aaa50c17489883ae473b0,Information Technology
15,15,Data Strategist,TRIBAL WORLDWIDE PTE. LTD.,Central,Senior Executive,Government support available,"$5,000to$10,000",https://www.mycareersfuture.sg/job/data-strategist-tribal-worldwide-2eab7ca8d8a725442b69199652dd7304,Advertising / Media 
16,16,Software Engineer in Machine Learning,LEADIQ SINGAPORE PTE. LTD.,Central,Professional,,"$5,000to$7,500",https://www.mycareersfuture.sg/job/software-engineer-machine-learning-leadiq-singapore-b69aa7d21a9fb816b9f56da6f28a62f9,Information Technology ...
18,18,Data Scientist (Human Capital),GOVERNMENT TECHNOLOGY AGENCY,,Middle Management,,"$5,000to$8,000",https://www.mycareersfuture.sg/job/data-scientist-government-technology-agency-632b834a6c1272a68646d5a8812cb4f5,Information Technology ...
19,19,Data Scientist,ACTIVATE INTERACTIVE PTE LTD,East,Senior Executive,Government support available,"$4,000to$6,500",https://www.mycareersfuture.sg/job/data-scientist-activate-interactive-82987455f4ee9d1b384da7bd6465ea4c,Information Technology
21,21,"AVP, Data Scientist, Business Analytics, Consumer Banking Group (180004XI)",DBS BANK LTD.,East,Senior Management,Government support available,"$6,500to$11,700",https://www.mycareersfuture.sg/job/avp-data-scientist-business-analytics-consumer-banking-group-dbs-bank-c725fe7c4f6e216e2364592f2a9f0e26,Information Technology
22,22,"Assoc, Data Scientist, Consumer Banking Group Business Analytics, T&O (1900007A)",DBS BANK LTD.,East,Senior Executive,Government support available,"$3,750to$6,800",https://www.mycareersfuture.sg/job/assoc-data-scientist-consumer-banking-group-business-analytics-to-dbs-bank-374d74aea99fecf78bf4975dcd927715,Information Technology
23,23,"AVP, Data Scientist, Consumer Banking Group Business Analytics, T&O (1900007A)",DBS BANK LTD.,East,Senior Executive,Government support available,"$6,500to$11,700",https://www.mycareersfuture.sg/job/avp-data-scientist-consumer-banking-group-business-analytics-to-dbs-bank-2ce05fc7647964335c4b0f1fcd1d9cb6,Information Technology
24,24,"Snr Assoc, Data Scientist, Consumer Banking Group Business Analytics, T&O (1900007A)",DBS BANK LTD.,East,Senior Executive,Government support available,"$5,000to$9,000",https://www.mycareersfuture.sg/job/snr-assoc-data-scientist-consumer-banking-group-business-analytics-to-dbs-bank-d92a9de66e079d8c0d801cdfbb58c323,Information Technology
25,25,"VP, Data Scientist, Business Analytics, Consumer Banking Group (180004XI)",DBS BANK LTD.,East,Senior Management,Government support available,"$10,400to$18,700",https://www.mycareersfuture.sg/job/vp-data-scientist-business-analytics-consumer-banking-group-dbs-bank-e6f0580e337e2ac87233008afd07d02b,Information Technology
26,26,"SVP, Data Scientist, Business Analytics, Consumer Banking Group (180004XI)",DBS BANK LTD.,East,Senior Management,Government support available,"$10,000to$20,000",https://www.mycareersfuture.sg/job/svp-data-scientist-business-analytics-consumer-banking-group-dbs-bank-cd3b4e7b27b76be0d4d47bf766fc1b70,Information Technology
27,27,Assistant Director (Resource Planning & Allocation),Ministry of Defence,,,,Salary undisclosed,https://www.mycareersfuture.sg/job/assistant-director-ministry-defence-2f16e71ebeed28290cf84cc2dc398bf6,Human Resources  ...
28,28,Data Scientist,LEAP (G) PTE. LTD.,Islandwide,Professional,Government support available,"$10,000to$15,000",https://www.mycareersfuture.sg/job/data-scientist-leap-5bbd0461c1d3762bcc37c6bcdebf9b12,Information Technology
29,29,Office of Planning - Manager (Data Analyst / Scientist),Republic Polytechnic,,,,"$5,700to$6,300",https://www.mycareersfuture.sg/job/office-planning-manager-republic-polytechnic-ba6127e745a10ce5155e458624a308bb,Education and Training ...
30,30,"AVP, Data Engineer, IBG Digital, Institutional Banking Group (1800044U)",DBS BANK LTD.,East,Manager ...,Government support available,"$6,500to$11,700",https://www.mycareersfuture.sg/job/avp-data-engineer-ibg-digital-institutional-banking-group-dbs-bank-1f257f3fe7b5eebd4832a6d4f3f9bfe6,Banking and Finance
31,31,"Senior Associate, Data Engineer, IBG Digital, Institutional Banking Group (1800044U)",DBS BANK LTD.,East,Manager ...,Government support available,"$5,000to$9,000",https://www.mycareersfuture.sg/job/senior-associate-data-engineer-ibg-digital-institutional-banking-group-dbs-bank-89827330ea0c49864b2a6ea27caa1932,Banking and Finance
32,32,Lecturer - Info-Comm Technology (IT Applications Development),Institute of Technical Education,,Executive,,"$3,000to$6,000",https://www.mycareersfuture.sg/job/lecturer-info-comm-technology-institute-technical-education-2efb0f4a7886f3aee009770d4efbbd00,Information Technology ...
33,33,Lecturer - Electronics (Internet of Things (IoT) & Communication),Institute of Technical Education,,Executive,,"$3,000to$6,000",https://www.mycareersfuture.sg/job/lecturer-electronics-communication-institute-technical-education-24b8f8766d5ddff9b94e71a34f3b3387,Information Technology ...
